ID;Fundnr;Anzahl;Verzier_a1;Verz_a1_mehrfach;Wsmin;Wsmax;Verzier_a2;Verzier_a2_mehrfach;Verzier_a3;Verzier_a4;Verzier_i;Dmax;Proz_erhalt;Fragmenttyp;Anmerk;Zchng;Typ;joint;Ware
436;1230041;14;10;;;;;;;;;;;;;;;;
437;1230467;13;10;;0,6;0,8;;;;;;;;;;;;;
438;1230481;28;10;;0,5;0,8;;;;;;;;;;;;;
439;1230234;9;10;;0,45;0,75;;;;;;;;;;;;;
440;1230252;7;10;;0,75;0,9;;;;;;;;;;;;;
441;1230250;1;10;;;0,75;;;;;;;;;;;;;
442;1230367;25;10;;0,6;1,1;;;;;;;;;;;;;
443;1230302;3;10;;0,5;0,75;;;;;;;;;;;;;
444;1230296;6;10;;0,35;1,2;;;;;;;;;;;;;
445;1230284;10;10;;0,6;0,8;;;;;;;;;;;;;
446;1230340;11;10;;;;;;;;;;;;;;;zu BS Zchng. 33X und RS Zchng. 33II;
447;1230340;74;3;;0,35;0,8;;;;;;;;;;;;;
448;1230329;3;3;;0,45;0,75;;;;;;;;;;;;;
449;1230330;1;3;;;0,55;;;;;;;;;;;;;
450;1230322;6;3;;0,45;0,8;;;;;;;;;;;;;
451;1230334;5;3;;;0,7;;;;;;;;;;;;;
452;1230335;4;3;;0,5;0,75;;;;;;;;;;;;;
453;1230331;2;3;;0,65;0,7;;;;;;;;;;;;;
454;1230323;5;3;;0,6;0,7;;;;;;;;;;;;;
455;1230324;2;3;;;;;;;;;;;;;;;;
456;1230324;30;3;;0,5;0,65;;;;;;;;;;;;;
457;1230327;42;3;;0,4;0,8;;;;;;;;;;;;;
458;1230325;35;3;;0,5;0,7;;;;;;;;;;;;;
459;1230333;2;3;;;;;;;;;;;;;;;;
460;1230333;3;3;;;;;;;;;;;;;;;;
461;1230333;35;3;;0,4;0,9;;;;;;;;;;;;;
462;1230289;119;3;;;;;;;;;;;;;;;;
463;1230343;8;3;;0,6;0,8;;;;;;;;;;;;;
464;1230478;58;3;;0,45;0,5;;;;;;;;;;;;;
465;1230033;92;3;;0,45;0,9;;;;;;;;;;;;;
466;1230348;61;3;;;;;;;;;;;;;;;;
467;1230346;53;3;;;;;;;;;;;;;;;;
468;1230050;26;3;;;;;;;;;;;;;;;;
469;1230051;90;3;;0,45;0,8;;;;;;;;;;;;;
470;1230353;5;3;;0,6;0,75;;;;;;;;;;;;;
471;1230197;14;3;;;;;;;;;;;;;;;;
472;1230204;8;3;;;;;;;;;;;;;;;;
473;1230200;42;3;;0,2;0,9;;;;;;;;;;;;;
474;1230206;12;3;;0,5;0,75;;;;;;;;;;;;;
475;1230207;2;3;;;0,6;;;;;;;;;;;;;
476;1230207;14;3;;0,5;0,75;;;;;;;;;;;;;
477;1230385;10;3;;0,6;0,75;;;;;;;;;;;;;
478;1230383;40;3;;0,4;0,75;;;;;;;;;;;;;
479;1230380;42;3;;0,6;0,8;;;;;;;;;;;;;
480;1230316;13;3;;0,35;0,7;;;;;;;;;;;;;
481;1230319;11;3;;0,35;0,75;;;;;;;;;;;;;
482;1230318;16;3;;0,6;0,8;;;;;;;;;;;;;
483;1230317;20;3;;0,6;0,8;;;;;;;;;;;;;
484;1230387;21;3;;0,45;0,6;;;;;;;;;;;;;
485;1230496;2;3;;0,55;0,65;;;;;;;;;;;;;
486;1230393;11;3;;0,5;0,8;;;;;;;;;;;;;
487;1230320;28;3;;;;;;;;;;;;;;;;
488;1230487;10;3;;0,45;0,9;;;;;;;;;;;;;
489;1230482;74;3;;0,35;0,7;;;;;;;;;;;;;
490;1230446;26;3;;0,55;0,7;;;;;;;;;;;;;
491;1230390;58;3;;0,5;0,8;;;;;;;;;;;;;
492;1230442;57;3;;0,4;0,8;;;;;;;;;;;;;
493;1230484;58;3;;0,35;0,8;;;;;;;;;;;;;
494;1230421;50;3;;0,45;0,75;;;;;;;;;;;;;
495;1230440;16;3;;0,5;0,8;;;;;;;;;;;;;
496;1230439;62;3;;0,5;0,8;;;;;;;;;;;;;
497;1230420;1;3;;;;;;;;;;;;;;;zu RS Zchng. 51I;
498;1230420;44;3;;0,5;0,8;;;;;;;;;;;;;
499;1230425;5;3;;0,4;0,9;;;;;;;;;;;;;
500;1230194;9;3;;0,45;0,65;;;;;;;;;;;;;
501;1230418;107;3;;0,45;0,9;;;;;;;;;;;;;
502;1230478;7;3;;;;;;;;;;;;;;;zu RS Zchng. 52X;
503;1230478;27;3;;0,5;0,8;;;;;;;;;;;;;
504;1230475;1;3;;;;;;;;;;;;;;;zu RS Zchng. 53II;
505;1230475;5;3;;;;;;;;;;;;;;;zu RS Zchng. 53III;
506;1230475;83;3;;0,4;0,75;;;;;;;;;;;;;
507;1230414;1;3;;;0,7;;;;;;;;;;;;;
508;1230480;1;3;;;0,65;;;;;;;;;;;;;
509;1230409;11;3;;;;;;;;;;;;;;;;
510;1230409;74;3;;0,35;0,8;;;;;;;;;;;;;
511;1230450;7;3;;0,6;0,7;;;;;;;;;;;;;
512;1230451;44;3;;0,45;0,7;;;;;;;;;;;;;
513;1230445;70;3;;0,55;0,8;;;;;;;;;;;;;
514;1230429;105;3;;0,45;0,7;;;;;;;;;;;;;
515;1230428;109;3;;0,5;0,75;;;;;;;;;;;;;
516;1230426;8;3;;0,5;0,7;;;;;;;;;;;;;
517;1230400;19;3;;0,5;0,8;;;;;;;;;;;;;
518;1230396;73;3;;0,5;0,9;;;;;;;;;;;;;
519;1230398;121;3;;0,4;0,75;;;;;;;;;;;;;
520;1230402;155;3;;0,6;0,7;;;;;;;;;;;;;
521;1230411;27;3;;0,4;0,5;;;;;;;;;;;;;
522;1230435;77;3;;0,6;0,8;;;;;;;;;;;;;
523;1230436;35;3;;0,5;0,8;;;;;;;;;;;;;
524;1230463;37;3;;0,6;0,9;;;;;;;;;;;;;
525;1230469;8;3;;0,5;0,65;;;;;;;;;;;;;
526;1230470;12;3;;0,6;0,75;;;;;;;;;;;;;
527;1230427;1;3;;;;;;;;;;;;;;;;
528;1230427;23;3;;0,4;0,75;;;;;;;;;;;;;
529;1230472;17;3;;0,5;0,7;;;;;;;;;;;;;
530;1230448;2;3;;;0,4;;;;;;;;;;;;;
531;1230406;20;3;;0,6;0,8;;;;;;;;;;;;;
532;1230447;1;3;;;0,45;;;;;;;;;;;;;
533;1230392;79;3;;0,4;0,8;;;;;;;;;;;;;
534;1230493;156;3;;0,4;0,9;;;;;;;;;;;;;
535;1230282;140;3;;0,4;0,75;;;;;;;;;;;;;
536;1230395;70;3;;0,4;0,7;;;;;;;;;;;;;
537;1230443;2;3;;;0,6;;;;;;;;;;;;;
538;1230476;26;3;;0,45;0,75;;;;;;;;;;;;;
539;1230434;34;3;;0,5;0,75;;;;;;;;;;;;;
540;1230449;2;3;;;0,75;;;;;;;;;;;;;
541;1230444;1;3;;;;;;;;;;;;;;;;
542;1230444;15;3;;0,4;0,75;;;;;;;;;;;;;
543;1230458;1;3;;;1;;;;;;;;;;;;;
544;1230452;9;3;;0,55;0,85;;;;;;;;;;;;;
545;1230288;4;3;;0,45;0,55;;;;;;;;;;;;;
546;1230473;16;3;;0,45;0,7;;;;;;;;;;;;;
547;1230405;6;3;;0,5;0,85;;;;;;;;;;;;;
548;1230454;46;3;;0,5;0,8;;;;;;;;;;;;;
549;1230464;1;3;;;;;;;;;;;;;;;;
550;1230464;80;3;;0,6;0,85;;;;;;;;;;;;;
551;1230461;76;3;;0,4;0,75;;;;;;;;;;;;;
552;1230394;70;3;;0,5;0,8;;;;;;;;;;;;;
553;1230408;22;3;;0,5;0,75;;;;;;;;;;;;;
554;1230041;70;3;;;;;;;;;;;;;;;;
555;1230467;82;3;;0,45;0,75;;;;;;;;;;;;;
556;1230481;75;3;;0,45;0,9;;;;;;;;;;;;;
557;1230477;170;3;;0,45;0,75;;;;;;;;;;;;;
558;1230234;42;3;;;;;;;;;;;;;;;;
559;1230457;2;3;;;0,6;;;;;;;;;;;;;
560;1230252;61;3;;0,5;0,7;;;;;;;;;;;;;
561;1230250;25;3;;0,4;0,8;;;;;;;;;;;;;
562;1230367;123;3;;0,45;0,8;;;;;;;;;;;;;
563;1230295;4;3;;0,5;0,75;;;;;;;;;;;;;
564;1230302;4;3;;0,4;0,7;;;;;;;;;;;;;
565;1230296;22;3;;0,45;0,9;;;;;;;;;;;;;
566;1230284;50;3;;0,45;0,8;;;;;;;;;;;;;
567;1230477;2;11;;;0,35;;;;;;;;;;;;;
