ID;Fundnr;Anzahl;Verzier_a1;Verz_a1_mehrfach;Wsmin;Wsmax;Verzier_a2;Verzier_a2_mehrfach;Verzier_a3;Verzier_a4;Verzier_i;Dmax;Proz_erhalt;Fragmenttyp;Anmerk;Zchng;Typ;joint;Ware
109;1230396;15;3;;;;;;;;;;;10;;;;;
110;1230398;35;3;;;;;;;;;;;10;;;;;
111;1230402;23;3;;;;;;;;;;;10;;;;;
112;1230411;6;3;;;;;;;;;;;10;;;;;
113;1230435;7;3;;;;;;;;;;;10;;;;;
114;1230436;4;3;;;;;;;;;;;10;;;;;
115;1230463;3;3;;;;;;;;;;;10;;;;;
116;1230469;3;3;;;;;;;;;;;10;;;;;
117;1230472;3;3;;;;;;;;;;;10;;;;;
118;1230406;4;3;;;;;;;;;;;10;;;;;
119;1230392;8;3;;;;;;;;;;;10;;;;;
120;1230493;21;3;;;;;;;;;;;10;;;;;
121;1230463;2;3;;;;;;;;;;;10;;;;;
122;1230282;37;3;;;;;;;;;;;10;;;;;
123;1230395;15;3;;;;;;;;;;;10;;;;;
124;1230476;3;3;;;;;;;;;;;10;;;;;
125;1230434;5;3;;;;;;;;;;;10;;;;;
126;1230449;2;3;;;;;;;;;;;10;;;;;
127;1230454;1;3;;;;;;;;;;;10;;;;;
128;1230464;5;3;;;;;;;;;;;10;;;;;
129;1230461;7;3;;;;;;;;;;;10;;;;;
130;1230394;2;3;;;;;;;;;;;10;;;;;
131;1230408;1;3;;;;;;;;;;;10;;;;;
132;1230041;1;3;;;;;;;;;;;10;;;;;
133;1230467;8;3;;;;;;;;;;;10;;;;;
134;1230481;10;3;;;;;;;;;;;10;;;;;
135;1230477;5;3;;;;;;;;;;;10;;;;;
136;1230234;2;3;;;;;;;;;;;10;;;;;
137;1230252;8;3;;;;;;;;;;;10;;;;;
138;1230250;1;3;;;;;;;;;;;10;;;;;
139;1230295;1;3;;;0,7;;;;;;;;10;;;;;
140;1230296;1;3;;;;;;;;;;;10;;;;;
141;1230284;2;3;;;;;;;;;;;10;;;;;
142;1230289;31;;;;;;;;;;;;10;;;;;
143;1230478;2;;;;0,4;;;;;;;;10;;;;;
144;1230442;4;;;;;;;;;;;;10;;;;;
145;1230421;1;;;;;;;;;;;;10;;;;;
146;1230461;2;;;0,9;1;;;;;;;;;weich;;;;302
147;1230446;1;10;;;0,9;;;;;;;;;UFG oder altslawisch?;;;;302
148;1230464;1;10;;;0,95;;;;;;;;;altslawisch o. VFG;;;;302
149;1230327;1;23;;0,1;0,4;;;;;;;;;;;;;302
150;1230200;1;10;;0,5;;;;;;;;;;grauschwarz;;;;400
